policePrecinct,neighborhood,n_incidents
1,Cedar Riverside,825
1,Downtown East,262
1,Downtown West,4409
1,Elliot Park,544
1,Loring Park,711
1,North Loop,793
1,University of Minnesota,8
2,Audubon Park,554
2,Beltrami,211
2,Bottineau,377
2,Columbia Park,151
2,Como,452
2,Holland,1169
2,Logan Park,355
2,Marcy Holmes,1798
2,Marshall Terrace,355
2,Mid - City Industrial,278
2,Nicollet Island - East Bank,945
2,Northeast Park,326
2,Prospect Park - East River Road,594
2,Sheridan,318
2,St. Anthony East,218
2,St. Anthony West,462
2,University of Minnesota,210
2,Waite Park,244
2,Windom Park,461
3,Bancroft,134
3,Bryant,96
3,Central,832
3,Cooper,112
3,Corcoran,360
3,Diamond Lake,149
3,East Phillips,1387
3,Ericsson,136
3,Field,87
3,Hale,61
3,Hiawatha,235
3,Howe,196
3,Keewaydin,115
3,Longfellow,603
3,Midtown Phillips,1019
3,Minnehaha,113
3,Morris Park,74
3,Northrop,189
3,Page,41
3,Phillips West,726
3,Powderhorn Park,1055
3,Regina,142
3,Seward,510
3,Standish,212
3,Ventura Village,1096
3,Wenonah,112
4,Bryn - Mawr,125
4,Camden Industrial,34
4,Cleveland,356
4,Folwell,1230
4,Harrison,401
4,Hawthorne,2031
4,Humboldt Industrial Area,10
4,Jordan,2075
4,Lind - Bohanon,344
4,Lowry Hill,4
4,McKinley,772
4,Near - North,2256
4,North Loop,6
4,Shingle Creek,132
4,St. Anthony West,13
4,Sumner - Glenwood,123
4,Victory,498
4,Webber - Camden,656
4,Willard - Hay,1207
5,Armatage,77
5,CARAG,559
5,Cedar - Isles - Dean,153
5,East Harriet,169
5,East Isles,530
5,ECCO,308
5,Fulton,130
5,Kenny,118
5,Kenwood,193
5,King Field,846
5,Linden Hills,218
5,Loring Park,30
5,Lowry Hill,239
5,Lowry Hill East,1491
5,Lyndale,2154
5,Lynnhurst,245
5,Steven's Square - Loring Heights,1006
5,Tangletown,547
5,West Calhoun,80
5,Whittier,3328
5,Windom,404
